city,cloudiness,lat,long,country,date,humidity,max_temp,wind_speed
lebu,0.0,-37.62,-73.65,CL,1586742478.0,77.0,47.68,9.15
ciro marina,6.0,39.37,17.13,IT,1586742767.0,66.0,58.46,4.5
shimoda,75.0,34.67,138.95,JP,1586742505.0,93.0,52.0,28.86
caravelas,39.0,-17.71,-39.25,BR,1586742767.0,87.0,76.84,15.9
goure,20.0,13.98,10.27,NE,1586742767.0,17.0,74.17,8.21
aksu,22.0,41.12,80.26,CN,1586742767.0,14.0,68.68,1.59
dudinka,100.0,69.41,86.18,RU,1586742767.0,62.0,21.2,4.47
ancud,75.0,-41.87,-73.82,CL,1586742194.0,87.0,48.2,2.24
copiapo,75.0,-27.37,-70.33,CL,1586742768.0,87.0,59.0,9.17
vostok,0.0,46.49,135.88,RU,1586742482.0,31.0,52.52,4.97
marsh harbour,23.0,26.54,-77.06,BS,1586742768.0,81.0,76.21,21.85
bubaque,44.0,11.28,-15.83,GW,1586742768.0,74.0,78.55,12.5
taicheng,51.0,38.73,113.23,CN,1586742768.0,18.0,58.86,4.14
gunnaur,3.0,28.25,78.43,IN,1586742768.0,19.0,91.09,8.01
nouadhibou,0.0,20.93,-17.03,MR,1586742769.0,68.0,68.0,20.8
grand gaube,40.0,-20.01,57.66,MU,1586742259.0,83.0,77.0,12.75
zaragoza,100.0,41.66,-0.88,ES,1586742769.0,54.0,55.0,8.05
pampa,1.0,35.54,-100.96,US,1586742769.0,55.0,39.2,19.46
dikson,100.0,73.51,80.55,RU,1586742769.0,96.0,15.03,14.83
aklavik,75.0,68.22,-135.01,CA,1586742769.0,50.0,33.8,5.82
vila franca do campo,75.0,37.72,-25.43,PT,1586742769.0,72.0,60.8,10.29
viedma,8.0,-40.81,-63.0,AR,1586742769.0,73.0,52.72,7.14
petropavlovsk-kamchatskiy,40.0,53.05,158.65,RU,1586742770.0,48.0,39.2,4.47
maturin,34.0,9.75,-63.18,VE,1586742770.0,78.0,74.34,5.73
da nang,75.0,16.07,108.22,VN,1586742770.0,94.0,71.6,5.82
ahipara,16.0,-35.17,173.17,NZ,1586742770.0,66.0,66.22,20.45
wamba,84.0,8.93,8.6,NG,1586742770.0,28.0,80.28,3.74
mahebourg,40.0,-20.41,57.7,MU,1586742194.0,83.0,77.0,12.75
lodwar,90.0,3.12,35.6,KE,1586742770.0,49.0,83.86,9.19
hilo,90.0,19.73,-155.09,US,1586742550.0,69.0,78.8,11.41
amboasary,0.0,-25.03,46.38,MG,1586742771.0,83.0,69.76,3.44
norman wells,75.0,65.28,-126.83,CA,1586742771.0,35.0,41.0,3.36
srebrenica,57.0,44.11,19.3,BA,1586742771.0,43.0,50.0,4.7
kondopoga,100.0,62.21,34.26,RU,1586742771.0,86.0,37.4,6.71
bowen,40.0,-20.02,148.23,AU,1586742771.0,66.0,88.0,14.99
saint-georges,20.0,12.06,-61.75,GD,1586742772.0,78.0,78.8,17.49
la ronge,75.0,55.1,-105.28,CA,1586742193.0,56.0,15.8,10.29
belyy yar,0.0,53.6,91.39,RU,1586742772.0,59.0,37.4,3.76
kirakira,93.0,-10.45,161.92,SB,1586742772.0,67.0,86.27,6.38
guiren,0.0,33.67,118.19,CN,1586742772.0,31.0,62.47,4.92
ishigaki,8.0,24.34,124.16,JP,1586742772.0,43.0,69.8,17.22
verkhoshizhemye,50.0,58.01,49.1,RU,1586742773.0,94.0,24.71,10.38
englehart,99.0,47.82,-79.87,CA,1586742773.0,87.0,35.98,7.52
darhan,98.0,49.49,105.92,MN,1586742773.0,43.0,43.61,15.68
belmonte,90.0,-15.86,-38.88,BR,1586742773.0,88.0,75.2,3.36
meadow lake,90.0,34.8,-106.54,US,1586742773.0,37.0,62.01,26.4
mount gambier,0.0,-37.83,140.77,AU,1586742773.0,63.0,60.8,10.29
hoi an,75.0,15.88,108.33,VN,1586742744.0,94.0,71.6,5.82
ostrovnoy,100.0,68.05,39.51,RU,1586742773.0,92.0,28.4,26.69
san andres,20.0,12.58,-81.7,CO,1586742774.0,78.0,82.4,11.41
upernavik,100.0,72.79,-56.15,GL,1586742774.0,97.0,32.54,14.88
cobija,99.0,-11.03,-68.77,BO,1586742774.0,90.0,73.04,2.98
portland,20.0,45.52,-122.68,US,1586742548.0,17.0,64.4,13.87
moerai,100.0,-22.43,-151.33,PF,1586742774.0,81.0,80.71,13.04
port alfred,12.0,-33.59,26.89,ZA,1586742774.0,82.0,57.0,4.0
bulalacao,21.0,12.33,121.34,PH,1586742774.0,64.0,85.28,6.42
thompson,75.0,55.74,-97.86,CA,1586742774.0,51.0,10.4,10.29
roswell,90.0,34.02,-84.36,US,1586742727.0,83.0,73.99,13.87
boali,99.0,4.8,18.13,CF,1586742775.0,100.0,75.2,3.38
east london,1.0,-33.02,27.91,ZA,1586742775.0,67.0,62.33,6.46
price,20.0,39.6,-110.81,US,1586742775.0,20.0,44.6,13.87
boa vista,15.0,2.82,-60.67,BR,1586742775.0,51.0,86.0,9.17
sabha,0.0,27.04,14.43,LY,1586742775.0,20.0,69.8,13.91
avarua,97.0,-21.21,-159.78,CK,1586742775.0,83.0,82.4,3.36
samarinda,94.0,-0.5,117.15,ID,1586742776.0,53.0,91.04,6.06
olafsvik,100.0,64.89,-23.71,IS,1586742542.0,89.0,41.67,31.79
huaihua,11.0,27.55,109.96,CN,1586742776.0,40.0,67.78,3.11
sorland,100.0,67.67,12.69,NO,1586742776.0,92.0,31.84,49.93
port elizabeth,23.0,-33.92,25.57,ZA,1586742776.0,81.0,53.6,8.05
sola,10.0,-13.88,167.55,VU,1586742776.0,79.0,81.99,14.32
merauke,31.0,-8.47,140.33,ID,1586742776.0,56.0,88.54,6.38
ariogala,97.0,55.27,23.47,LT,1586742776.0,42.0,48.2,9.17
port macquarie,22.0,-31.43,152.92,AU,1586742764.0,56.0,75.99,5.82
shelburne,90.0,44.08,-80.2,CA,1586742777.0,57.0,51.8,11.41
villazon,0.0,-22.09,-65.59,BO,1586742777.0,11.0,50.47,4.5
launceston,100.0,-41.45,147.17,AU,1586742777.0,67.0,60.01,2.24
anadyr,20.0,64.75,177.48,RU,1586742777.0,78.0,8.6,15.66
fairbanks,75.0,64.84,-147.72,US,1586742777.0,36.0,48.2,3.36
los llanos de aridane,75.0,28.66,-17.92,ES,1586742777.0,68.0,64.4,6.93
bredasdorp,1.0,-34.53,20.04,ZA,1586742778.0,67.0,57.2,86.35
lasa,100.0,46.62,10.7,IT,1586742778.0,74.0,48.0,2.24
amapa,100.0,1.0,-52.0,BR,1586742778.0,94.0,72.97,2.15
buala,75.0,-8.14,159.59,SB,1586742778.0,72.0,85.3,7.9
rio grande,0.0,-32.03,-52.1,BR,1586742778.0,87.0,62.01,13.31
tazovskiy,100.0,67.47,78.7,RU,1586742778.0,98.0,21.76,5.28
yumen,100.0,40.28,97.2,CN,1586742778.0,12.0,63.88,15.14
concordia,100.0,-31.39,-58.02,AR,1586742779.0,74.0,63.0,5.64
